leter of the alphabet	ï»¿aba
from A to Z	aba hama zati
groan	ada
multicultural	ada-dane
culture	ada
bourgeois culture	ada afkala
non-literate culture	ada afola
national culture	ada biya
liberal culture	ada durki
profesional culture	ada hoji
mixed culture	ada maka
non-material culture	ada miti-waneta
mas culture	ada umata baldha
popular culture	ada umata
material culture	ada waneta
custom mariage	ada waromi
elder sister	ade
poter	ado
groaning	adumsa
silver knife	adu meti
golden knife	adu sabu
knife	adu1
to groan	adu2
luck	aga
bearer of god news	aga himtu
to anounce god news	aga himu
unlucky	aga-dhabesa
gospel	ago
a person who forgives	agi-basa
forgivenes	agi
to forgive	agi basu
bearer of god news	agitu
to be lucky	agomu
blod vesel	amo
district	ana
municipal district	ana magala
colonel	ancibrala
deputy lieutenant	andihibala
violence	angawa
violent	angawa
to be violent	angawu
absolute power	ango-qabesuma
violently	angodhan
powerfulnes	angoma
empowerment	angomsa
to empower	angomsu
to be powerful	angomu
power	ango
atomic power	ango atomi
governmental authorities	ango bulchaya
administrative authority	ango bulmata
social authority	ango gamta
advisory authority	ango gorsa
state power	ango motuma
nuclear power	ango nuklara
brainpower	ango samu
legislative authority	ango sera
political power	ango taliga
Almighty God	ango Waqa
powerful	ango-qabesa
stanza	angu
object	anima
captain	ankumala
deputy corporal	ankurnala
milk 2) latex	anan
instant milk	anan batale
defated milk	anan comtodhable
milk-powder	anan daku
boiled milk	anan danfi
skim milk	anan elmama
powdered milk from Europe or America	anan faranji
breast milk	anan harma
milk of magnesium	anan magnesiya
fresh milk	anan mi'i
milkles saples	anan-malesa
milky 2) sapy	anan-qabesa
to be milky 2) to be sapy	ananawu
kind-hearted 2) friendly	anane
a person who talks friendly	ananoftu
milkines 2) sapines 3) calmnes	ananuma
milk-cows 2) dairy catle	anole
close relative	ante
very close relationship	antuma
anger	ari
to avenge	ari bawu
sacrifice	arsa
nerve	arsitu
optical nerve	arsitu agarti
radial nerver	arsitu cali
auditory nerve	arsitu dhageti
spinal nerve	arsitu dugda
acelerative nerve	arsitu hurisa
intermediate nerve	arsitu jidugale
muscular nerve	arsitu masha
mixed nerve	arsitu maka
sensory nerve	arsitu mira
motor nerve	arsitu sochi
acesory nerve	arsitu torbi
neurosis	aruma
father confesor	aba lubu
patente	aba mirguma
great-grandfather	ababayu
great-great-grandfather	ababile
cursed	abarama
curse	abarsa
one who curses	abartu
to curse	abaru
cury stuf	abasuda
white cumin	abasuda
black cumin	abasuda guracha
flat open country	abaxaia
savanah	abaxaio
father 2) owner 3) seler 4) leader	aba
oficial	aba ango
dairyman	aba anani
florist	aba ababo
traditional Oromo atorney general	aba alange
religious leader i.e.	aba amanti
sucesful kiler of an elephant	aba arba
a person whose wife celebrates the atete cult	aba atete
banker	aba banki
stepfather	aba bidena
bilionaire	aba biyona
leader (regional or national) 2) governor	aba biya
head of state	aba boku
head of a camp	aba bokona
chieftain	aba burqa
father of convention	aba cafe
regimental leader	aba cibra
person who gives a feast	aba cidha
be-keper	aba dama
person who has a case in the court or problems to be discused with an oficial	aba dhima
ship-owner	aba doni
head of scout	aba doyo
litigant 2) chief speaker of the cafe asembly	aba dubi
satirist	aba dubqishina
Field Marshal	aba duibanti
traditional Oromo ministerof war 2) comander of an army	aba dula
owner of a wel	aba ela
factory owner	aba fabrika
horseman	aba farda
kind-hearted	aba fira
traditional Oromo surveyor	aba funyo
muleter	aba gange
traditional Oromo minister of comerce	aba gaba
slave-owner	aba gabra
traditional Oromo president elected for the duration of eight years	aba gada
military comander under aba dula	aba gaja
the owner of galma	aba galma
head of a vilage	aba ganda
team captain	aba garo
trogon	aba gaya
brigadier	aba godina
black leg	aba gorba
head of a tribe	aba gosa
a daily supervisor	aba guya
usurer	aba hiqi
prose-writer	aba hololo
shep merchant	aba hola
treasurer	aba hori
powerful	aba humna
toucan	aba ilko
authoritarian	aba ire
dictatorship	aba iruma
wholesaler	aba jila
holder of kalacha	aba kalacha
owner of grazing land	aba kalo
owner of a great number of catle	aba kara
host	aba kesuma
an oficial who is in charge of boarder	aba kela
player of kirara	aba kirara
godfather	aba kiristina
contractor	aba kontirata
acount holder	aba konto
chairman of an asembly	aba kora
ceremonial leader	aba korma
owner of a company	aba kubaniya
a person who has one thousand or more catle	aba kuma
landlord	aba lafa
local administrator	aba laga
creditor	aba liqa
catle owner	aba loni
treasurer	aba malaqa
a man who has a large family	aba mati
grengrocer	aba magarisa
strategist	aba mala
husband	aba mana
oral historian	aba marara
grain seler	aba midhani
grain merchant	aba mijana
a sucesful kiler of big animals such as lions and elephants	aba mirga
debtor	aba mugota
judge	aba murti
traditional religious head of the Oromo people	aba muda
peace-maker	aba naga
chief of a vilage	aba ola
owner of a farmland	aba obru
one who is waiting for his turn	aba orofa
postman	aba posta
title holder	aba qabenya
gunman	aba qawe
head of a localised minor clan	aba qe'e
a firewod seler	aba qorani
pharmacist	aba qoricha
district governor	aba qoro
auditor	aba qorto
traditional Oromo border expert	aba qoto
prophet	aba raji
a man-eater animal suposed to have ben apeared in Oromoland after the Abysinian ocupation	aba rusi
a traditional Oromo minister of finance	aba sa'a
saxophon list	aba saksifona
comander of a military unit	aba sagli
anthrax	aba sanga
hero in a story	aba sena
traditional Oromo minister of law	aba sera
chancre	aba seru
narator	aba sheko
cabman	aba taksi
oficial	aba tayita
sovereign	aba tayita gutu
tobaconist	aba tambo
