Abadula Gemeda	Abbaaduulaa Gammadaa
Adama	Adaamaa
Adama	Hadaamaa
Addis Ababa	Finfinne
Addis Ababa	Shaggar
Addis	Finfinne
Addis	Shaggar
Afan Oromo (language)	Afaan Oromoo
Afar Region	Naannoo Affaar
Africa	Afrikaa
Aji	Ajjee
Amhara Region	Naannoo Amaaraa
Amigna	Amiinyaa
Amnesty International	Amnistii Internaashinaal
Arero	Areeroo
Arsi Zone	Arsii
Arsi Zone	Godina Arsii
Aseko	Asako
Asosa	Asaasaa
Asia	Eshiyaatti
Bahir Dar	Baahir Daar
Bale (zone)	Baale
Bale (zone)	Godina Baale
Bench Maji	Beenchii Maajii
Benishangul-Gumuz (region)	Benishangul-Gumuzii
Bole Bulbula	Boolee Bulbulaa
Borena Zone	Godina Booranaa
Borana Zone	Godina Booranaa
Brazil	Biraazil
Dire Dawa	Dirre Dhawaa
Dire Dawa	Dirre Dawaa
Djibouti	Jibuutii
Dodola woreda	Dodola
East Hararghe Zone	Harargee Bahaa
East Hararghe Zone	Godina Harargee Bahaa
East Shewa Zone	Baha Shawaa
East Shewa Zone	Godina Baha Shawaa
East Welega Zone	Wallagga Bahaa
East Welega Zone	Godina Wallagga Bahaa
East Wellega Zone	Wallagga Bahaa
East Wellega Zone	Godina Wallagga Bahaa
East Wollega Zone	Wallagga Bahaa
East Wollega Zone	Godina Wallagga Bahaa
Eritrea	Eeritiraa
Ethiopia	Itiyoophiyaa
Ethiopia	Itoophiyaa
Ethiopia	Itoopiyaa
Ethiopia	Toophiyaa
Europe	Yuurooppi
Feyisa Lilesa	Fayyisaa Leellisaa
France	Firaansi
Gambela Region	Naannoo Gaambeellaa
Gamo Gofa (zone)	Gamuu-Gofaa
Girma Seifu	Girmaa Sayifuu
Gore	Goree
Greece	Giriik
Guji Zone	Godina Gujii
Guraferda	Gura Ferdaa
Haile Selassie	Hayila Sillaasee
Harari (region)	Naannoo Hararii
Horn of Africa	Gaanfi Afrikaa
Horo Guduru Welega Zone	Horroo Guduruu
Horo Guduru Welega Zone	Godina Horroo Guduruu
Human Rights Watch	Hiyumaan Raaytis Waach
Illubabor Zone	Illuu Abbaa Booraa
Illubabor Zone	Illuu Abbaaboor
Indian Ocean	Garba Indiyaa
Italy	Ixaaliyaa
Jimma	Jimma
Jimma	Jimaan
Jimma	Jimmam
Jima	Jimma
Jima	Jimaan
Jima	Jimmam
Jimma University	Yuunivarsiitii Jimmaa
Jimma Zone	Godina Jimmaa
Keffa	Kafaa
Kelam Welega Zone	Qeellam Wallaggaa
Kelam Welega Zone	Godina Qeellam Wallaggaa
Kelam Wellega Zone	Qeellam Wallaggaa
Kelam Wellega Zone	Godina Qeellam Wallaggaa
Kelam Wollega Zone	Qeellam Wallaggaa
Kelam Wollega Zone	Godina Qeellam Wallaggaa
Kenya	keniyaa
Kenya	keenyaa
Liben Zone	Liiban
Libya	Liibiyaa
Mecha and Tulama Self-Help Association	Waldaa Wal-gargaarsa Maccaa fi Tuulamaa
Mediterranean Sea	Galaana Mediteraaniyaanii
Meles Zenawi	Meles Zeenaawwii
Menelik (Emperor)	Minilik
Minnesota	Minnesootaa
Minnesota	Minisootaa
Mogadishu	Moqaadishoo
Nekemte	Naqamte
Nekemte	Naqamtee
Nakamti	Naqamte
Nakamti	Naqamtee
Nek’emtē	Naqamte
Nek’emtē	Naqamtee
Nek'emte	Naqamte
Nek'emte	Naqamtee
New York	Niwu Yoorki
North Shewa Zone	Shawaa Kaabaa
Oromia Region	Oromiyaa
Oromiya Region	Oromiyaa
Oromia Regional State	Oromiyaa
Oromo (people)	Oromoo
Oromo Liberation Front (OLF)	Adda Bilisummaa Oromoo
Oromo People's Democratic Organization (OPDO)	Dhaabbata Dimookraatawaa Ummata Oromoo
Pacific Ocean	Garba Paasifiik
Ras Dejen	Raash Daashin
Ras Dashen	Raash Daashin
Ras Dashan	Raash Daashin
Red Sea	Galaana Diimaa
Saudi Arabia	Saudi Arabiya
Saudi Arabia	Biyya Sa'uudi Arabiya
Seru	Seeruu
Shashemene	Shashemane
Shashemene	Shaashemannee
Shashamane	Shashemane
Shashamane	Shaashemannee
Shoa: Shewa	Shawaa
Sidama Zone	Sidaamoo
Somalia	Somaaliyaa
South Sudan	Sudaan Kibbaa
Southern Nations, Nationalities, and Peoples' Region (SSNPR)	Naannoo Sabaa fi Sab-lammoota Ummattoota Kibbaa
Southwest Shewa Zone	Shawaa Kibba-lixaa
Southwest Shewa Zone	Shawaa Kill Lixaa
Tigray Region	Naannoo Tigraay
United Kingdom	Yunaayitid Kingidem
UK	Yunaayitid Kingidem
United States	Yunaayitid Isteesi
United States of America	Yunaayitid Isteesi
US	Yunaayitid Isteesi
USA	Yunaayitid Isteesi
Voice of America	raadiyoon sagalee Amerikaa
Wayane	Wayyannee
Wayane	Wayyanne
Tigrayan People's Liberation Front	Wayyannee
Tigrayan People's Liberation Front	Wayyanne
Weyane	Wayyannee
Weyane	Wayyanne
Second Weyane	Wayyannee
Second Weyane	Wayyanne
West Arsi Zone	Arsii Lixaa
West Arsi Zone	Arsii Dhihaa
Mirab Arsi Zone	Arsii Lixaa
Mirab Arsi Zone	Arsii Dhihaa
West Gojjam Zone	Goojjaam Dhihaa
West Hararghe Zone	Harargee Dhihaa
West Hararghe Zone	Godina Harargee Dhihaa
West Shewa Zone	Shawaa Lixaa
West Shewa Zone	Shawaa Dhihaa
West Shewa Zone	Godina Shawaa Lixaa
West Shewa Zone	Godina Shawaa Dhihaa
West Welega Zone	Wallagga Lixaa
West Welega Zone	Wallagga Dhihaa
West Welega Zone	Godina Wallagga Lixaa
West Welega Zone	Godina Wallagga Dhihaa
West Wellega Zone	Wallagga Lixaa
West Wellega Zone	Wallagga Dhihaa
West Wellega Zone	Godina Wallagga Lixaa
West Wellega Zone	Godina Wallagga Dhihaa
West Wollega Zone	Wallagga Lixaa
West Wollega Zone	Wallagga Dhihaa
West Wollega Zone	Godina Wallagga Lixaa
West Wollega Zone	Godina Wallagga Dhihaa
Mirab Welega	Wallagga Lixaa
Mirab Welega	Wallagga Dhihaa
Mirab Welega	Godina Wallagga Lixaa
Mirab Welega	Godina Wallagga Dhihaa
Welega	Wallagga
Wellega	Wallagga
Wollega	Wallagga
World Bank	Baankii Addunyaa
Yemen	Yaman
