Hungary	ሀንጋሪ
Hungarian	ሀንጋሪኛ
Haiti	ሀይቲ
hurricane	ሃቦብላ
work-shy	ሃካይ
workshy	ሃካይ
state	ሃገረ
imperialist	ሃጸያዊ
seven deadly sins	ህርፊ
India	ህንድ
Honduras	ሆንዱራስ
Hong Kong SAR China	ሆንግ ኮንግ
leperous	ለምጻም
February	ለካቲት
month	ለካቲት
night	ለይቲ
newsy	ለፍላፋ
pearl	ሉል
Luxembourg	ሉክሰምበርግ
Libya	ሊቢያ
Lebanon	ሊባኖስ
Lithuanian	ሊቱአኒየን
Lithuania	ሊቱዌኒያ
Liechtenstein	ሊችተንስታይን
cow	ላም
Latin	ላቲን
Latin	ላቲንኛ
Latvia	ላትቪያ
Latvian	ላትቪያን
Laos	ላኦስ
Liberia	ላይቤሪያ
Lesotho	ሌሶቶ
language	ልሳን
heart	ልቢ
today	ሎሚ
sand	ሑጻ
wanion	ሒነ
wreak	ሒነ
five hundred	ሓሙሽተ ሚእቲ
five	ሓሙሽተ
rancher	ሓረስታይ
oliphaunt	ሓርማዝ
crocodile	ሓርገሽ
insect	ሓሽራ
sister	ሓብቲ
blood brother	ሓወ
brother	ሓወ
siblings	ሓወ
fire	ሓዊ
sisters	ሓውቲ
one	ሓደ
summer	ሓጋይ
fence	ሓጹር
ill	ሕሙም
Hindi	ሕንደኛ
𐐐𐐮𐑌𐐼𐐨	ሕንደኛ
November	ሕዳር
law	ሕጊ
child	ሕጻን
small insect	ሕፃን
aubergine	መለንዛና
brinjal	መለንዛና
eggplant	መለንዛና
eggplant bush	መለንዛና
garden egg	መለንዛና
mad apple	መለንዛና
solanum melongena	መለንዛና
angel	መልኣኽ
seraph	መልኣኽ
leader	መራሒ
earth	መሬት
ship	መርከብ
poison	መርዚ
toxic	መርዛም
venomous	መርዛም
preposition	መስተዋድድ
looking-glass	መስትያት
mirror	መስትያት
September	መስከረም
member	መሸኒ
penis	መሸኒ
phallus	መሸኒ
stool	መንበር
arrow	መንትግ
chin	መንከስ
mentum	መንከስ
shoulder	መንኩብ
run	መንገዲ
government	መንግስቲ
wing	መንፈርፈር
graveyard	መካነ-መቓብር
Middle Africa	መካከለኛ አፍሪካ
lid	መኽደኒ
broom	መኾስተር
day	መዓልቲ
time	መዓልቲ
intestine	መዓንጣ
song	መዝሙር
dictionary	መዝገበ ቃላት
station	መደበር
whetstone	መዲድ
March	መጋቢት
Bible	መጽሓፍ ቅዱስ
book	መጽሓፍ
wild hog	መፍለስ
key	መፍትሕ
plantain	ሙዝ
Micronesia	ሚክሮኔዢያ
Mar.	ማ
Mali	ማሊ
