don't shoot	ከይትትኲስ
move	ኣልግስ
follow me	ተኸተለኒ
turn around	ተጠወ
give me	ሃባ
keep away	ረሓቕ
let us pass	ኣሕልፈና
don't be frightened	ኣይትፍራሕ
go	ኪድ
open	ክፈት
close	ዕጾ
beware	ተጠንቀቕ
bring me	ኣምጽኣለይ
distribute	ዘርግሕ
fill	መልኤ
lift	ኣልዓለ
pour into	ገልበጠ
put	ኣቐመጠ
take	ወሰደ
load	ጸዓነ
unload	ኣራገፈ
help me	ሓግዘኒ
show me	ኣርእየኒ
tell me	ንገረኒ
please	በጃኻ
thank you	የቐንየለይ
ok	ሕራይ
yes	እወ
no	ኣይኰነን
right	ቅኑዕ
wrong	ጌጋ
here	ኣብዚ
there	ኣብቲ
I want	ደልየ
danger	ሓደጋ
who	መን
what	እንታይ
when	መዓስ
where	ኣበይ
why	ስለምንታይ
how	ከመይ
I am	እየ
you are	ኢኻ
we are	ኢና
they are	እዮም
hello	ሰላም
do you understand	ይርድአካዶ
I don't understand	ኣይርድአንን
how many	ክንደይ
repeat it	ድገሞ
plus	ዝተደመሮ
minus	ዝጐደሎ
more	ዝበዝሔ
less	ዝወሓደ
approximately	ኣስታት
first	ቀዳማይ
second	ካልኣይ
third	ሳልሳይ
Sunday	ሰንበት
Monday	ሰኑይ
Tuesday	ሰሉስ
Wednesday	ረቡዕ
Thursday	ሓሙስ
Friday	ዓርቢ
Saturday	ቀዳም
yesterday	ትማሊ
today	ሎሚ
tomorrow	ጽባሕ
day	መዓልቲ
night	ለይቲ
week	ሰሙን
month	ወርሒ
year	ዓመት
second	ሰከንድ
minute	ደቒቓ
hour	ሰዓት
morning	ንግሆ
evening	ምሸት
afternoon	ድሕሪ-ቀትሪ
midnight	ፍርቂ-ለይቲ
now	ሕጂ
later	ደሓር
above	ብልዕሊ
after	ድሕሪ
back	ድሕሪት
before	ቅድሚ
coordinates	መጋጥሞታት
degrees	ዲግሪ
down	ታሕቲ
east	ምብራቕ
far	ርሑቕ
longitude	ሎንጊትዩድ
left	ጸጋም
latitude	ላቲትዩድ
near	ጥቓ
north	ሰሜን
northeast	ሰሜን-ምብራቕ
northwest	ሰሜን-ምዕራብ
right	የማን
south	ደቡብ
southeast	ደቡብ-ምብራቕ
southwest	ደቡብ-ምዕራብ
up	ላዕሊ
west	ምዕራብ
beach	ገምገም-ባሕሪ
border	ዶብ
bridge	ድልድል
camp	መዓስከር
forest	ዱር
harbor	መርሳ
hill	ኰረብታ
house	ገዛ
lake	ቀላይ
meadow	ሸኻ
mountain	እምባ
ocean	ውቅያኖሰ
path	መንገዲ
paved road	ጽርግያ
place	ቦታ
position	መቓምጦ
river	ሩባ
road	ጐደና
sea	ባሕሪ
square	ኣደባባይ
tree	ኦም
valley	ሩባሩባ
village	ዓዲ
where	ኣበይ
black	ጸሊም
blue	ሰማያዊ
brown	ቡናዊ
gray	ሓሙኽሸታይ
green	ሓምላይ
orange	ብርቱኻናዊ
purple	ቂሔ-ሰማያዊ
red	ቀይሕ
white	ጻዕዳ
yellow	ብጫ
big	ዓብዪ
deep	ዓሚቝ
long	ነዊሕ
narrow	ጸቢብ
short	ሓጺር
short	ሓጺር
small, little	ንእሽቶይ
tall	ነዊሕ
thick	ረጕድ
thin	ረቒቕ
wide	ጐዳን
round	ከቢብ
square	ትርብዒት
triangular	ስሉስ-ኲርናዕ
fresh	ሓድሽ
salty	ጨዋም
sour	መጺጽ
spicy	መሪር
sweet	ምቁር
bad	ሕማቕ
clean	ጽሩይ
dark	ጸልማት
difficult	ጽንኩር
dirty	ረሳሕ
dry	ንቑጽ
easy	ቀሊል
empty	ባዶ
expensive	ክቡር
fast	ቅልጡፍ
foreign	ወጻኢ
full	ምሉእ
good	ጽቡቕ
hard	ተሪር
heavy	ከቢድ
inexpensive	ሕሱር
light	ብርሃን
light	ፈኵስ
local	ውሽጣዊ
new	ሓድሽ
old	ብላይ
old	ሽማግለ
powerful	ሓያል
quiet	ስቕታ
right	ቅኑዕ
slow	ዝሕቱል
soft	ልምሉም
very	ብጣዕሚ
weak	ድኹም
wet	ትርኩስ
wrong	ጌጋ
young	ንኡስ
few	ውሑድ
many	ብዙሓት
part	ክፋል
some	ብመጠኑ
whole	ምሉእ
emergency	ኲነተ-ሓደጋ
food	ምግቢ
can	ታኒካ
cup	ኩባያ
fork	ፋርኬታ
knife	ካራ
plate	ብያቲ
spoon	ማንካ
beans	ዓተር
beer	ቢራ
bread	ባኒ
butter	ጠስሚ
cheese	ጅብና
coffee	ቡን
fish	ዓሳ
flour	ሓርጭ
fruit	ፍሩታ
meat	ስጋ
milk	ጸባ
oil	ዘይቲ
potatoes	ድንሽ
