Adi Keyh	ዓዲ ቀይሕ	GPE
Afabet	ኣፍዓበት	GPE
Aland Islands	የአላንድ ደሴቶች	GPE
American Samoa	የአሜሪካ ሳሞአ	GPE
Angola	ኣንጎላ	GPE
Anguilla	አንጉኢላ	GPE
Anseba Region	ዞባ ዓንሰባ	GPE
Antarctica	አንታርክቲካ	GPE
Antigua and Barbuda	አንቲጓ እና ባሩዳ	GPE
Arab Republic of Egypt	ግብጽ	GPE
Argentine Republic	አርጀንቲና	GPE
Aruba	አሩባ	GPE
Asmara	ኣስመራ	GPE
Assab	ዓስብ	GPE
Australia	አውስትሬሊያ	GPE
Badme	ባድመ	GPE
Bangladesh	ባንግላዲሽ	GPE
Barbados	ባርቤዶስ	GPE
Barentu, Eritrea	ባረንቱ	GPE
Belize	ቤሊዘ	GPE
Benin	ቤኒን	GPE
Bermuda	ቤርሙዳ	GPE
Bhutan	ቡህታን	GPE
Birma (Myanmar)	ማያንማር	GPE
Bolivia, Plurinational State Of	ቦሊቪያ	GPE
Bosnia and Herzegovina	ቦስኒያ እና ሄርዞጎቪኒያ	GPE
Botswana	ቦትስዋና	GPE
Bouvet Island	የቦውቬት ደሴት	GPE
British Indian Ocean Territory	የብሪታኒያ ህንድ ውቂያኖስ ግዛት	GPE
Brunei Darussalam	ብሩኒ	GPE
Burkina Faso	ቡርኪና ፋሶ	GPE
Cabo Verde	ኬፕ ቬርዴ	GPE
Canada	ካናዳ	GPE
Cayman Islands	ካይማን ደሴቶች	GPE
Central African Republic	የመካከለኛው አፍሪካ ሪፐብሊክ	GPE
Chile	ቺሌ	GPE
Christmas Island	የገና ደሴቶች	GPE
Cocos [Keeling] Islands	ኮኮስ ኬሊንግ ደሴቶች	GPE
Commonwealth of Dominica	ዶሚኒካ	GPE
Congo	ኮንጐ	GPE
Cook Islands	ኩክ ደሴቶች	GPE
Côte d’Ivoire	ኮት ዲቯር	GPE
Cyprus	ሳይፕረስ	GPE
Czech Republic	ቼክ ሪፑብሊክ	GPE
Debub Region	ዞባ ደቡብ	GPE
Dekemhare	ደቀምሓረ	GPE
Democratic Republic of Sao Tome and Principe	ሳኦ ቶሜ እና ፕሪንሲፔ	GPE
Djibouti	ጂቡቲ	GPE
DR Congo	ኮንጎ	GPE
Eritrea	ኤርትራ	GPE
Ethiopia	ኢትዮጵያ	GPE
Falkland Islands Dependencies	ደቡብ ጆርጂያ እና የደቡድ ሳንድዊች ደሴቶች	GPE
Falkland Islands (Malvinas)	የፎልክላንድ ደሴቶች	GPE
Faroe Islands	የፋሮይ ደሴቶች	GPE
Federal Democratic Republic of Ethiopia	ኢትዮጵያ	GPE
Federal Democratic Republic of Nepal	ኔፓል	GPE
Federal Islamic Republic of the Comoros	ኮሞሮስ	GPE
Federative Republic of Brazil	ብራዚል	GPE
Fiji	ፊጂ	GPE
France	ፈረንሳይ	GPE
French Guiana	የፈረንሳይ ጉዊአና	GPE
