hemp	hmp	ሀምፕ
cornbread	hnz	ሀንዛ
crescent	hll	ሂላል
life	hwt	ሂወት
prodigal	hjb	ሂያብ
offering	hjb	ሂያብ
stand	hlw	ሃለ'ወ
bray	hll	ሃለለ
hammock	hll	ሃለለ
peak	hlx	ሃለኸ
bear	hlw	ሃለዎ
booby	hlj	ሃላይ
stick	hlj	ሃላይ
consumption	hlk	ሃልኪ
sink	hmm	ሃመመ
fly	hmm	ሃመማ
crater	hmm	ሃማም
dogma	hmn	ሃሜን
strike	hrm	ሃረመ
pelt	hrm	ሃረመ
throb	hrm	ሃረመ
hit	hrm	ሃረመ
beat	hrm	ሃረመ
pyramid	hrm	ሃረም
pine	hrf	ሃረፈ
knocker	hrm	ሃራሚ
hurt	hsj	ሃሰየ
torture	hsj	ሃሰየ
hit	hsj	ሃሰየ
matt	hss	ሃሳስ
attempt	hqn	ሃቀነ
essay	hqn	ሃቀነ
fortune	hbt	ሃብቲ
resource	hbt	ሃብቲ
opulence	hbt	ሃብቲ
affluence	hbt	ሃብቲ
property	hbt	ሃብቲ
wealth	hbt	ሃብቲ
build	hnt͡sʼ	ሃነጸ
construct	hnt͡sʼ	ሃነጸ
sense	hws	ሃወሰ
monkey	hwx	ሃወኸ
rush	hwx	ሃወኸ
temerity	hwx	ሃወኽ
tear	hwt͡sʼ	ሃወጸ
sensor	hws	ሃዋሲ
convulsion	hwk	ሃውኪ
levant	hdm	ሃደመ
run	hdm	ሃደመ
bunk	hdm	ሃደመ
hunt	hdn	ሃደነ
chevy	hdn	ሃደነ
runaway	hdm	ሃዲም
pursuit	hdn	ሃድን
calm	hdʔ	ሃድአ
assault	hd͡ʒm	ሃጀመ
storm	hd͡ʒm	ሃጀመ
charge	hd͡ʒm	ሃጀመ
debt	hɡr	ሃገር
country	hɡr	ሃገር
land	hɡr	ሃገር
nation	hɡr	ሃገር
crevasse	hɡʷm	ሃጓም
pitfall	hɡʷm	ሃጓም
rift	hɡʷf	ሃጓፍ
dint	hɡʷf	ሃጓፍ
depression	hɡʷf	ሃጓፍ
groove	hɡʷf	ሃጓፍ
crevasse	hɡʷf	ሃጓፍ
dent	hɡʷf	ሃጓፍ
crater	hɡʷf	ሃጓፍ
emperor	ht͡sʼj	ሃጸይ
gust	ht͡sʼf	ሃጽፊ
steam	hff	ሃፈፈ
heron	hrn	ሄሮን
eve	hwn	ሄዋን
entity	hlw	ህላወ
attendance	hlw	ህላወ
presence	hlw	ህላወ
existence	hlw	ህላወ
being	hlw	ህላወ
existence	hlw	ህላዌ
presence	hlw	ህላዌ
shake	hmt	ህሞት
moment	hmt	ህሞት
miser	hrf	ህሩፍ
glutton	hrf	ህሩፍ
harm	hsj	ህሳ'ይ
monkey	hbj	ህበይ
baboon	hbj	ህበይ
cult	hbb	ህቡብ
hero	hbb	ህቡብ
